ba,ca,sr,cd,ti,zr,sn,hf,Storage.E
100,0,0,0,80,0,0,20,42.84793206
100,0,0,0,85,0,0,15,29.99808765
98,0,0,2,100,0,0,0,58.36845521
95,0,0,5,100,0,0,0,48.83607093
90,0,0,10,100,0,0,0,34.17356037
85,0,0,15,100,0,0,0,25.585524
80,0,0,20,100,0,0,0,40.11833172
75,0,0,25,100,0,0,0,40.51274291
96.5,3.5,0,0,77.5,22.5,0,0,46.49715769
93,7,0,0,80,20,0,0,64.29601292
89.5,10.5,0,0,82.5,17.5,0,0,53.37495116
87.75,12.25,0,0,83.75,16.25,0,0,49.54631008
86,14,0,0,85,15,0,0,53.07344556
84.25,15.75,0,0,86.25,13.75,0,0,46.56080538
82.5,17.5,0,0,87.5,12.5,0,0,50.94589386
80.75,19.25,0,0,88.75,11.25,0,0,53.85907216
77.25,22.75,0,0,91.25,8.75,0,0,50.52961263
75.5,24.5,0,0,92.5,7.5,0,0,46.55848762
72,28,0,0,95,5,0,0,32.43742604
68.5,31.5,0,0,97.5,2.5,0,0,28.2824739
98.5,1.5,0,0,88.6,0,11.4,0,30.92367563
97,3,0,0,89.2,0,10.8,0,32.68416303
95.5,4.5,0,0,89.8,0,10.2,0,48.98662431
94,6,0,0,90.4,0,9.6,0,33.16410246
92.5,7.5,0,0,91,0,9,0,49.30431815
91,9,0,0,91.6,0,8.4,0,44.64612498
89.5,10.5,0,0,92.2,0,7.8,0,36.65596373
88,12,0,0,92.8,0,7.2,0,51.66108289
82,18,0,0,95.2,0,4.8,0,33.05249712
85,15,0,0,90,10,0,0,46.30221467
72,28,0,0,92.5,7.5,0,0,42.6666752
70,30,0,0,93.75,6.25,0,0,39.11159026
68,32,0,0,95,5,0,0,32.8083961
64,36,0,0,97.5,2.5,0,0,13.08855949
76,24,0,0,90,10,0,0,47.06756244
74,26,0,0,91.25,8.75,0,0,33.64001744
66,34,0,0,96.25,3.75,0,0,20.11597694
62,38,0,0,98.75,1.25,0,0,18.15606343
80,20,0,0,82,18,0,0,46.51738583
70,30,0,0,88,12,0,0,40.42461374
65,35,0,0,91,9,0,0,27.00157517
55,45,0,0,97,3,0,0,6.393305614
89.2,10.8,0,0,88,12,0,0,38.27366806
87.4,12.6,0,0,91,9,0,0,42.47256527
85.6,14.4,0,0,94,6,0,0,30.75385135
83.8,16.2,0,0,97,3,0,0,39.36751095
91,9,0,0,85,15,0,0,35.32524859
82.9,17.1,0,0,98.5,1.5,0,0,23.07869054
94.6,5.4,0,0,79,0,21,0,20.79816531
92.8,7.2,0,0,82,0,18,0,50.70051965
91,9,0,0,85,0,15,0,56.05926014
89.2,10.8,0,0,88,0,12,0,50.34032951
87.4,12.6,0,0,91,0,9,0,46.0888753
85.6,14.4,0,0,94,0,6,0,21.47567277
83.8,16.2,0,0,97,0,3,0,17.61596603
82.9,17.1,0,0,98.5,0,1.5,0,16.45224706
94.6,5.4,0,0,84.6,0,15.4,0,44.76713523
92.8,7.2,0,0,86.8,0,13.2,0,17.34685074
89.2,10.8,0,0,91.2,0,8.8,0,21.19165876
87.4,12.6,0,0,93.4,0,6.6,0,48.07283289
85.6,14.4,0,0,95.6,0,4.4,0,32.66090196
83.8,16.2,0,0,97.8,0,2.2,0,30.09684408
82,18,0,0,100,0,0,0,22.1743335
75,25,0,0,94,0,6,0,42.89355721
95,0,5,0,80,20,0,0,46.91354728
90,0,10,0,80,20,0,0,58.06551254
85,0,15,0,80,20,0,0,58.23002959
83,0,17,0,79,21,0,0,55.03562238
88,12,0,0,88.8,0,11.2,0,51.31635728
76,24,0,0,93.6,0,6.4,0,50.88187537
86.5,13.5,0,0,88.1,0,11.9,0,32.90739156
77.5,22.5,0,0,91.5,0,8.5,0,44.35843333
73,27,0,0,93.2,0,6.8,0,28.32238417
88,12,0,0,84.6,0,15.4,0,61.21996687
84,16,0,0,86.8,0,13.2,0,59.40501999
80,20,0,0,89,0,11,0,60.63960711
76,24,0,0,91.2,0,8.8,0,51.71890972
91,9,0,0,86,14,0,0,33.42590298
100,0,0,0,90,10,0,0,43.1015777
100,0,0,0,85,15,0,0,40.55705249
100,0,0,0,80,20,0,0,42.99883393
100,0,0,0,75,25,0,0,56.22224694
98,0,2,0,100,0,0,0,55.90115859
96,0,4,0,100,0,0,0,52.08744883
94,0,6,0,100,0,0,0,45.91399932
92,0,8,0,100,0,0,0,43.78194645
90,0,10,0,100,0,0,0,36.7273434
88,0,12,0,100,0,0,0,37.12838745
86,0,14,0,100,0,0,0,51.21708492
84,0,16,0,100,0,0,0,35.74937328
82,0,18,0,100,0,0,0,31.58489321
80,0,20,0,100,0,0,0,33.67307521
76,0,24,0,100,0,0,0,43.50506349
74,0,26,0,100,0,0,0,27.07564584
72,0,28,0,100,0,0,0,29.87167463
70,0,30,0,100,0,0,0,33.11811718
68,0,32,0,100,0,0,0,45.42782995
65,0,35,0,100,0,0,0,48.09925391
62,0,38,0,100,0,0,0,63.97941007
60,0,40,0,100,0,0,0,61.00578832
88.3,11.7,0,0,89.5,10.5,0,0,38.26632199
87.85,12.15,0,0,90.25,9.75,0,0,37.25929274
86.95,13.05,0,0,91.75,8.25,0,0,42.42644689
86.5,13.5,0,0,92.5,7.5,0,0,41.96695343
80,20,0,0,88,2,10,0,45.96867128
84,16,0,0,90,10,0,0,32.85994951
85,15,0,0,89,11,0,0,40.40780169
60,10,30,0,90,10,0,0,54.4479537
76,24,0,0,99,1,0,0,22.67045123
82,18,0,0,88,12,0,0,40.14503011
83,17,0,0,87,13,0,0,42.81246887
78,22,0,0,100,0,0,0,19.53239116
84,16,0,0,85,15,0,0,43.1297161
76,24,0,0,97,3,0,0,29.07463873
81,17,2,0,88,12,0,0,28.29991223
89,11,0,0,90,10,0,0,43.6963951
91,9,0,0,88,12,0,0,39.01002301
88,9,3,0,81,19,0,0,56.1855006
90,10,0,0,93,0,7,0,34.70192171
91,9,0,0,89,0,11,0,32.6805176
73,27,0,0,96,4,0,0,24.97272274
79,21,0,0,91,9,0,0,43.20419206
90,10,0,0,95,0,5,0,58.25399383
91,9,0,0,96,1,3,0,60.52425088
95,1,4,0,79,21,0,0,50.40419297
96,3,1,0,72,27,1,0,47.55391379
88,12,0,0,92,3,5,0,56.10357911
84,16,0,0,91,8,1,0,52.66263695
78,13,9,0,83,0,17,0,38.53735934
87,13,0,0,91,4,5,0,39.91461358
85,15,0,0,90,7,3,0,30.20857913
92,8,0,0,91,1,8,0,42.87802509
85,15,0,0,91,5,4,0,52.90631456
84,16,0,0,89,7,4,0,53.66696454
84,16,0,0,90,7,3,0,48.58838004
76,8,16,0,85,6,9,0,50.95019219
84,16,0,0,90,6,4,0,40.65412485
85,15,0,0,87,6,7,0,38.61942248
83,17,0,0,90,7,3,0,53.20243872
74,11,15,0,92,3,5,0,34.49115338
84,15,1,0,90,7,3,0,28.70925775
83,17,0,0,90,3,7,0,47.49761965
84,16,0,0,90,8,2,0,48.17625482
70,18,12,0,67,22,11,0,12.69710776
85,15,0,0,91,9,0,0,44.94358192
91,9,0,0,90,0,10,0,51.66458324
84,15,1,0,92,8,0,0,48.18762442
84,16,0,0,91,9,0,0,50.64120556
95,5,0,0,91,0,9,0,46.32427112
93,7,0,0,91,0,9,0,49.48524338
93,7,0,0,92,0,8,0,51.27979212
86,14,0,0,91,9,0,0,47.51250297
95,5,0,0,89,0,11,0,50.35218873
86,14,0,0,91,8,1,0,48.4748351
91,9,0,0,91,0,9,0,51.76319657
86,14,0,0,92,8,0,0,48.08713144
97,3,0,0,88,0,12,0,53.45239386
87,13,0,0,92,8,0,0,46.93289893
82,18,0,0,83,17,0,0,53.06857472
86,14,0,0,90,10,0,0,42.7465494
85,15,0,0,93,0,7,0,54.76985229
86,14,0,0,90,9,1,0,47.39796539
92,8,0,0,91,0,9,0,45.97108395
88,12,0,0,74,26,0,0,53.48629547
94,4,2,0,60,17,23,0,9.795593035
87,0,13,0,66,10,24,0,9.766335285
83,4,13,0,75,6,19,0,16.5634
84,16,0,0,85,0,15,0,64.5579
93,5,2,0,64,10,26,0,12.4362
92,8,0,0,79,21,0,0,55.2731
80,0,20,0,60,10,30,0,5.83
94,1,5,0,61,26,13,0,11
85,15,0,0,83,0,17,0,62.09
83,17,0,0,85,0,15,0,59.4
93,7,0,0,97,0,2,1,50.8
89,11,0,0,84,0,16,0,61.05
86,14,0,0,83,0,17,0,61.53
87,13,0,0,83,0,17,0,53
68,2,30,0,90,10,0,0,14.7
85,15,0,0,85,0,15,0,60.78
90,10,0,0,97,0,3,0,37.58
84,16,0,0,84,0,16,0,62.8
82,18,0,0,87,0,13,0,60.1
84,16,0,0,91,0,9,0,34.4
93,7,0,0,95,1,1,3,39.5
80,20,0,0,84,0,16,0,58.4
60,10,30,0,90,9,0,1,47.1
90,10,0,0,84,0,16,0,57.3
80,20,0,0,85,0,15,0,64.3
69,1,30,0,90,10,0,0,43.1
93,7,0,0,87,0,13,0,47.3
88,12,0,0,79,19,0,2,60.1
71,0,29,0,90,1,0,9,49.1
65,5,30,0,90,9,0,1,44.6
79,21,0,0,85,0,15,0,66.5
81,19,0,0,85,0,15,0,65.8
78,22,0,0,82,0,18,0,56.8
78,22,0,0,86,0,14,0,68.9
95,5,0,0,94,6,0,0,38.4
80,0,20,0,60,9,1,30,14.3
76,24,0,0,85,0,15,0,69.52
79,21,0,0,86,0,14,0,69.53
65,5,30,0,90,10,0,0,44.43
77,23,0,0,86,0,14,0,69.6
75,25,0,0,85,0,15,0,61.43
77,23,0,0,85,0,15,0,65.11
73,27,0,0,83,0,17,0,47.34
72,0,28,0,90,0,1,9,43.4
79,21,0,0,87,0,9,4,48.8661
77,22,1,0,86,0,14,0,68.57386
78,22,0,0,87,0,13,0,69.33631
79,21,0,0,96,0,4,0,33.41854
79,21,0,0,92,0,8,0,46.30046
79,21,0,0,90,0,10,0,60.78013
79,21,0,0,88,0,12,0,63.82196
79,21,0,0,84,0,16,0,63.03385
79,21,0,0,82,0,18,0,55.82324
79,21,0,0,80,0,20,0,44.4924
79,21,0,0,76,0,24,0,29.54281
100,0,0,0,85,15,0,0,30.53339
100,0,0,0,80,20,0,0,38.79404
100,0,0,0,75,25,0,0,53.09799
100,0,0,0,70,30,0,0,40.51487
100,0,0,0,65,35,0,0,27.01884
100,0,0,0,95,0,5,0,34.82555
100,0,0,0,90,0,10,0,40.08988
100,0,0,0,85,0,15,0,56.56985
100,0,0,0,80,0,20,0,40.06909
100,0,0,0,75,0,25,0,24.52458
100,0,0,0,85,0,0,15,29.99809
100,0,0,0,80,0,0,20,42.84793
100,0,0,0,75,0,0,25,53.86265
100,0,0,0,70,0,0,30,41.59254
100,0,0,0,65,0,0,35,27.66297
93,7,0,0,93,5,2,0,42.2
89,11,0,0,78,22,0,0,69.9
81,19,0,0,84,0,16,0,68.2
92,8,0,0,93,5,2,0,43.1
88,12,0,0,78,22,0,0,71.7
90,10,0,0,77,23,0,0,69
81,19,0,0,83,0,17,0,59.4
89,11,0,0,79,21,0,0,70
