C,Cr,Ni,Mo,Mn,V,Nb,Si,W,Ta,N,Al,CO(wt%)
0.084,8.34,0.28,0,0.375,0.18,0.074,0.385,0,0,0.048,0.015,2.50E-05
0.084,8.34,0.28,0,0.375,0.18,0.074,0.385,0,0,0.048,0.015,4.40E-08
0.13,8.1,0.99,0,0.52,0.2,0.074,1.45,0,0,0.054,0.003,2.50E-05
0.13,8.1,0.99,0,0.52,0.2,0.074,1.45,0,0,0.054,0.003,4.40E-08
0.099,9.25,0.25,0.85,0.44,0.19,0.067,0.2,0,0,0.05,0,1.00E-06
0.099,9.25,0.25,0.85,0.44,0.19,0.067,0.2,0,0,0.05,0,1.00E-07
0.099,9.25,0.25,0.85,0.44,0.19,0.067,0.2,0,0,0.05,0,1.00E-08
0.099,9.25,0.25,0.85,0.44,0.19,0.067,0.2,0,0,0.05,0,1.00E-06
0.099,9.25,0.25,0.85,0.44,0.19,0.067,0.2,0,0,0.05,0,1.00E-07
0.099,9.25,0.25,0.85,0.44,0.19,0.067,0.2,0,0,0.05,0,1.00E-08
0.099,9.25,0.25,0.85,0.44,0.19,0.067,0.2,0,0,0.05,0,1.00E-06
0.099,9.25,0.25,0.85,0.44,0.19,0.067,0.2,0,0,0.05,0,1.00E-07
0.099,9.25,0.25,0.85,0.44,0.19,0.067,0.2,0,0,0.05,0,1.00E-08
0.56,9.99,0,0,0.58,0.28,0,0.02,0.3,0.02,0,0,8.00E-06
0.56,9.99,0,0,0.58,0.28,0,0.02,0.3,0.02,0,0,8.00E-06
0.56,9.99,0,0,0.58,0.28,0,0.02,0.3,0.02,0,0,8.00E-06
0.56,9.99,0,0,0.58,0.28,0,0.02,0.3,0.02,0,0,8.00E-06
0.56,9.99,0,0,0.58,0.28,0,0.02,0.3,0.02,0,0,8.00E-06
0.56,9.99,0,0,0.58,0.28,0,0.02,0.3,0.02,0,0,8.00E-06
0.1,9.05,0.35,0.88,0.49,0.19,0.08,0.48,0,0,0.059,0,0
0.1,9.05,0.35,0.88,0.49,0.19,0.08,0.48,0,0,0.059,0,0
0.1,9.05,0.35,0.88,0.49,0.19,0.08,0.48,0,0,0.059,0,0
0.1,9.05,0.35,0.88,0.49,0.19,0.08,0.48,0,0,0.059,0,0
0.1,9.05,0.35,0.88,0.49,0.19,0.08,0.48,0,0,0.059,0,0
0.1,8.97,0.37,0.89,0.47,0.2,0.08,1.3,0,0,0.06,0,0
0.1,8.97,0.37,0.89,0.47,0.2,0.08,1.3,0,0,0.06,0,0
0.1,8.97,0.37,0.89,0.47,0.2,0.08,1.3,0,0,0.06,0,0
0.1,8.97,0.37,0.89,0.47,0.2,0.08,1.3,0,0,0.06,0,0
0.1,8.97,0.37,0.89,0.47,0.2,0.08,1.3,0,0,0.06,0,0
0.1,9.03,0.36,0.88,0.47,0.18,0.08,1.95,0,0,0.058,0,0
0.1,9.03,0.36,0.88,0.47,0.18,0.08,1.95,0,0,0.058,0,0
0.1,9.03,0.36,0.88,0.47,0.18,0.08,1.95,0,0,0.058,0,0
0.1,9.03,0.36,0.88,0.47,0.18,0.08,1.95,0,0,0.058,0,0
0.1,9.03,0.36,0.88,0.47,0.18,0.08,1.95,0,0,0.058,0,0
0.1,8.45,0.17,0.92,0.46,0.2,0.04,0.26,0,0,0,0,0
0.1,8.45,0.17,0.92,0.46,0.2,0.04,0.26,0,0,0,0,0
0.1,8.45,0.17,0.92,0.46,0.2,0.04,0.26,0,0,0,0,0
0.1,8.45,0.17,0.92,0.46,0.2,0.04,0.26,0,0,0,0,0
0.1,8.37,0.2,0.91,0,0,0,0.28,0,0,0.048,0.021,1.38E-03
0.1,8.37,0.2,0.91,0,0,0,0.28,0,0,0.048,0.021,1.38E-03
0.1,8.37,0.2,0.91,0,0,0,0.28,0,0,0.048,0.021,1.38E-03
0.1,8.37,0.2,0.91,0,0,0,0.28,0,0,0.048,0.021,1.38E-03
0.1,8.37,0.2,0.91,0,0,0,0.28,0,0,0.048,0.021,1.38E-03
0.1,8.37,0.2,0.91,0,0,0,0.28,0,0,0.048,0.021,1.38E-03
0.1,8.37,0.2,0.91,0,0,0,0.28,0,0,0.048,0.021,1.38E-03
0.1,8.37,0.2,0.91,0,0,0,0.28,0,0,0.048,0.021,1.38E-03
0.1,8.37,0.2,0.91,0,0,0,0.28,0,0,0.048,0.021,1.26E-06
0.09,8.48,0.02,0.93,0.53,0.19,0.09,0.48,0,0,0.04,0.02,0
0.09,8.48,0.02,0.93,0.53,0.19,0.09,0.48,0,0,0.04,0.02,0
0.09,8.48,0.02,0.93,0.53,0.19,0.09,0.48,0,0,0.04,0.02,0
0.09,8.48,0.02,0.93,0.53,0.19,0.09,0.48,0,0,0.04,0.02,0
0.09,8.48,0.02,0.93,0.53,0.19,0.09,0.48,0,0,0.04,0.02,0
0.09,8.48,0.02,0.93,0.53,0.19,0.09,0.48,0,0,0.04,0.02,0
0.09,8.48,0.02,0.93,0.53,0.19,0.09,0.48,0,0,0.04,0.02,0
0.09,8.48,0.02,0.93,0.53,0.19,0.09,0.48,0,0,0.04,0.02,0
0.09,8.48,0.02,0.93,0.53,0.19,0.09,0.48,0,0,0.04,0.02,0
0.09,8.48,0.02,0.93,0.53,0.19,0.09,0.48,0,0,0.04,0.02,0
0.09,8.48,0.02,0.93,0.53,0.19,0.09,0.48,0,0,0.04,0.02,0
0.09,8.48,0.02,0.93,0.53,0.19,0.09,0.48,0,0,0.04,0.02,0
0.09,8.48,0.02,0.93,0.53,0.19,0.09,0.48,0,0,0.04,0.02,0
0.09,8.48,0.02,0.93,0.53,0.19,0.09,0.48,0,0,0.04,0.02,0
0.09,8.48,0.02,0.93,0.53,0.19,0.09,0.48,0,0,0.04,0.02,0
0.09,8.48,0.02,0.93,0.53,0.19,0.09,0.48,0,0,0.04,0.02,0
0.09,8.48,0.02,0.93,0.53,0.19,0.09,0.48,0,0,0.04,0.02,0
0.09,8.48,0.02,0.93,0.53,0.19,0.09,0.48,0,0,0.04,0.02,0
0.09,8.48,0.02,0.93,0.53,0.19,0.09,0.48,0,0,0.04,0.02,0
0.09,8.48,0.02,0.93,0.53,0.19,0.09,0.48,0,0,0.04,0.02,0
0.09,8.48,0.02,0.93,0.53,0.19,0.09,0.48,0,0,0.04,0.02,0
0.09,8.48,0.02,0.93,0.53,0.19,0.09,0.48,0,0,0.04,0.02,0
0.09,8.48,0.02,0.93,0.53,0.19,0.09,0.48,0,0,0.04,0.02,0
0.09,8.48,0.02,0.93,0.53,0.19,0.09,0.48,0,0,0.04,0.02,0
0.09,8.2,0.06,0.93,0.39,0.2,0.07,0.31,0,0,0.44,0.05,3.14E-04
0.09,8.2,0.06,0.93,0.39,0.2,0.07,0.31,0,0,0.44,0.05,3.14E-04
0.09,8.2,0.06,0.93,0.39,0.2,0.07,0.31,0,0,0.44,0.05,3.14E-04
0.12,8.91,0.043,0,0.35,0.2,0,0.066,1.47,0.14,0.0084,0.027,3.14E-04
0.12,8.91,0.043,0,0.35,0.2,0,0.066,1.47,0.14,0.0084,0.027,3.14E-04
0.12,8.91,0.043,0,0.35,0.2,0,0.066,1.47,0.14,0.0084,0.027,3.14E-04
0.091,8.93,0.01,0.01,0.49,0.15,0.01,0.15,1.51,0.15,0,0.01,1.00E-06
0.091,8.93,0.01,0.01,0.49,0.15,0.01,0.15,1.51,0.15,0,0.01,1.00E-06
0.091,8.93,0.01,0.01,0.49,0.15,0.01,0.15,1.51,0.15,0,0.01,1.00E-06
0.1,8.99,0.11,0.89,0.38,0.21,0.06,0.22,0,0,0,0,0
0.12,8.5,0,0,0.3,0.3,0,0,2,0.1,0,0,1.00E-06
0.12,8.5,0,0,0.3,0.3,0,0,2,0.1,0,0,1.00E-06
0.12,8.5,0,0,0.3,0.3,0,0,2,0.1,0,0,1.00E-06
0.12,8.5,0,0,0.3,0.3,0,0,2,0.1,0,0,1.00E-06
0.12,8.6,0,0,0.4,0.2,0,0.7,2.5,0.1,0,0,1.00E-06
0.12,8.6,0,0,0.4,0.2,0,0.7,2.5,0.1,0,0,1.00E-06
0.12,8.6,0,0,0.4,0.2,0,0.7,2.5,0.1,0,0,1.00E-06
0.12,8.6,0,0,0.4,0.2,0,0.7,2.5,0.1,0,0,1.00E-06
0.12,8.4,0,0,0.4,0.2,0,1,2.3,0.1,0,0,1.00E-06
0.12,8.4,0,0,0.4,0.2,0,1,2.3,0.1,0,0,1.00E-06
0.12,8.4,0,0,0.4,0.2,0,1,2.3,0.1,0,0,1.00E-06
0.104,8.61,0,0,0.49,0.25,0,0.1,1.66,0.08,0,0,1.00E-03
0.104,8.61,0,0,0.49,0.25,0,0.1,1.66,0.08,0,0,1.00E-03
0.104,8.61,0,0,0.49,0.25,0,0.1,1.66,0.08,0,0,1.00E-03
0.104,8.61,0,0,0.49,0.25,0,0.1,1.66,0.08,0,0,1.00E-03
0.17,8.88,0,0,0.61,0.25,0,0.71,1.98,0.14,0,0.15,1.00E-03
0.17,8.88,0,0,0.61,0.25,0,0.71,1.98,0.14,0,0.15,1.00E-03
0.17,8.88,0,0,0.61,0.25,0,0.71,1.98,0.14,0,0.15,1.00E-03
0.17,8.88,0,0,0.61,0.25,0,0.71,1.98,0.14,0,0.15,1.00E-03
0.12,8.9,0.02,0,0.35,0.2,0,0.08,1.44,0.15,0,0,1.73E-03
0.12,8.91,0,0,0.49,0.2,0,0,1.44,0.15,0.0084,0,0
0.12,8.91,0,0,0.49,0.2,0,0,1.44,0.15,0.0084,0,0
0.095,8.45,0.17,0.92,0.46,0.2,0,0.26,0,0,0,0,0
0.095,8.45,0.17,0.92,0.46,0.2,0,0.26,0,0,0,0,0
0.095,8.45,0.17,0.92,0.46,0.2,0,0.26,0,0,0,0,0
0.095,8.45,0.23,0.92,0.46,0.2,0,0.26,0,0,0,0,0
0.095,8.45,0.24,0.92,0.46,0.2,0,0.26,0,0,0,0,0
