Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,PassengerId,Pclass,Age,SibSp,Parch,Fare,Survived
0,1,0,0,1,1,3,22,1,0,7.25,0
1,0,1,0,0,2,1,38,1,0,71.2833,1
1,0,0,0,1,3,3,26,0,0,7.925,1
1,0,0,0,1,4,1,35,1,0,53.1,1
0,1,0,0,1,5,3,35,0,0,8.05,0
0,1,0,1,0,6,3,29.69911765,0,0,8.4583,0
0,1,0,0,1,7,1,54,0,0,51.8625,0
0,1,0,0,1,8,3,2,3,1,21.075,2
1,0,0,0,1,9,3,27,0,2,11.1333,2
1,0,1,0,0,10,2,14,1,0,30.0708,2
1,0,0,0,1,11,3,4,1,1,16.7,2
1,0,0,0,1,12,1,58,0,0,26.55,2
0,1,0,0,1,13,3,20,0,0,8.05,2
0,1,0,0,1,14,3,39,1,5,31.275,2
1,0,0,0,1,15,3,14,0,0,7.8542,2
1,0,0,0,1,16,2,55,0,0,16,2
0,1,0,1,0,17,3,2,4,1,29.125,2
0,1,0,0,1,18,2,29.69911765,0,0,13,2
1,0,0,0,1,19,3,31,1,0,18,2
1,0,1,0,0,20,3,29.69911765,0,0,7.225,2
0,1,0,0,1,21,2,35,0,0,26,2
0,1,0,0,1,22,2,34,0,0,13,2
1,0,0,1,0,23,3,15,0,0,8.0292,2
0,1,0,0,1,24,1,28,0,0,35.5,2
1,0,0,0,1,25,3,8,3,1,21.075,2
1,0,0,0,1,26,3,38,1,5,31.3875,2
0,1,1,0,0,27,3,29.69911765,0,0,7.225,2
0,1,0,0,1,28,1,19,3,2,263,2
1,0,0,1,0,29,3,29.69911765,0,0,7.8792,2
0,1,0,0,1,30,3,29.69911765,0,0,7.8958,2
0,1,1,0,0,31,1,40,0,0,27.7208,2
1,0,1,0,0,32,1,29.69911765,1,0,146.5208,2
1,0,0,1,0,33,3,29.69911765,0,0,7.75,2
0,1,0,0,1,34,2,66,0,0,10.5,2
0,1,1,0,0,35,1,28,1,0,82.1708,2
0,1,0,0,1,36,1,42,1,0,52,2
0,1,1,0,0,37,3,29.69911765,0,0,7.2292,2
0,1,0,0,1,38,3,21,0,0,8.05,2
1,0,0,0,1,39,3,18,2,0,18,2
1,0,1,0,0,40,3,14,1,0,11.2417,2
1,0,0,0,1,41,3,40,1,0,9.475,2
1,0,0,0,1,42,2,27,1,0,21,2
0,1,1,0,0,43,3,29.69911765,0,0,7.8958,2
1,0,1,0,0,44,2,3,1,2,41.5792,2
1,0,0,1,0,45,3,19,0,0,7.8792,2
0,1,0,0,1,46,3,29.69911765,0,0,8.05,2
0,1,0,1,0,47,3,29.69911765,1,0,15.5,2
1,0,0,1,0,48,3,29.69911765,0,0,7.75,2
0,1,1,0,0,49,3,29.69911765,2,0,21.6792,2
1,0,0,0,1,50,3,18,1,0,17.8,2
0,1,0,0,1,51,3,7,4,1,39.6875,2
0,1,0,0,1,52,3,21,0,0,7.8,2
1,0,1,0,0,53,1,49,1,0,76.7292,2
1,0,0,0,1,54,2,29,1,0,26,2
0,1,1,0,0,55,1,65,0,1,61.9792,2
0,1,0,0,1,56,1,29.69911765,0,0,35.5,2
1,0,0,0,1,57,2,21,0,0,10.5,2
0,1,1,0,0,58,3,28.5,0,0,7.2292,2
1,0,0,0,1,59,2,5,1,2,27.75,2
0,1,0,0,1,60,3,11,5,2,46.9,2
0,1,1,0,0,61,3,22,0,0,7.2292,2
1,0,0,0,0,62,1,38,0,0,80,2
0,1,0,0,1,63,1,45,1,0,83.475,2
0,1,0,0,1,64,3,4,3,2,27.9,2
0,1,1,0,0,65,1,29.69911765,0,0,27.7208,2
0,1,1,0,0,66,3,29.69911765,1,1,15.2458,2
1,0,0,0,1,67,2,29,0,0,10.5,2
0,1,0,0,1,68,3,19,0,0,8.1583,2
1,0,0,0,1,69,3,17,4,2,7.925,2
0,1,0,0,1,70,3,26,2,0,8.6625,2
0,1,0,0,1,71,2,32,0,0,10.5,2
1,0,0,0,1,72,3,16,5,2,46.9,2
0,1,0,0,1,73,2,21,0,0,73.5,2
0,1,1,0,0,74,3,26,1,0,14.4542,2
0,1,0,0,1,75,3,32,0,0,56.4958,2
0,1,0,0,1,76,3,25,0,0,7.65,2
0,1,0,0,1,77,3,29.69911765,0,0,7.8958,2
0,1,0,0,1,78,3,29.69911765,0,0,8.05,2
0,1,0,0,1,79,2,0.83,0,2,29,2
1,0,0,0,1,80,3,30,0,0,12.475,2
0,1,0,0,1,81,3,22,0,0,9,2
0,1,0,0,1,82,3,29,0,0,9.5,2
1,0,0,1,0,83,3,29.69911765,0,0,7.7875,2
0,1,0,0,1,84,1,28,0,0,47.1,2
1,0,0,0,1,85,2,17,0,0,10.5,2
1,0,0,0,1,86,3,33,3,0,15.85,2
0,1,0,0,1,87,3,16,1,3,34.375,2
0,1,0,0,1,88,3,29.69911765,0,0,8.05,2
1,0,0,0,1,89,1,23,3,2,263,2
0,1,0,0,1,90,3,24,0,0,8.05,2
0,1,0,0,1,91,3,29,0,0,8.05,2
0,1,0,0,1,92,3,20,0,0,7.8542,2
0,1,0,0,1,93,1,46,1,0,61.175,2
0,1,0,0,1,94,3,26,1,2,20.575,2
0,1,0,0,1,95,3,59,0,0,7.25,2
0,1,0,0,1,96,3,29.69911765,0,0,8.05,2
0,1,1,0,0,97,1,71,0,0,34.6542,2
0,1,1,0,0,98,1,23,0,1,63.3583,2
1,0,0,0,1,99,2,34,0,1,23,2
0,1,0,0,1,100,2,34,1,0,26,2
1,0,0,0,1,101,3,28,0,0,7.8958,2
0,1,0,0,1,102,3,29.69911765,0,0,7.8958,2
0,1,0,0,1,103,1,21,0,1,77.2875,2
0,1,0,0,1,104,3,33,0,0,8.6542,2
0,1,0,0,1,105,3,37,2,0,7.925,2
0,1,0,0,1,106,3,28,0,0,7.8958,2
1,0,0,0,1,107,3,21,0,0,7.65,2
0,1,0,0,1,108,3,29.69911765,0,0,7.775,2
0,1,0,0,1,109,3,38,0,0,7.8958,2
1,0,0,1,0,110,3,29.69911765,1,0,24.15,2
0,1,0,0,1,111,1,47,0,0,52,2
1,0,1,0,0,112,3,14.5,1,0,14.4542,2
0,1,0,0,1,113,3,22,0,0,8.05,2
1,0,0,0,1,114,3,20,1,0,9.825,2
1,0,1,0,0,115,3,17,0,0,14.4583,2
0,1,0,0,1,116,3,21,0,0,7.925,2
0,1,0,1,0,117,3,70.5,0,0,7.75,2
0,1,0,0,1,118,2,29,1,0,21,2
0,1,1,0,0,119,1,24,0,1,247.5208,2
1,0,0,0,1,120,3,2,4,2,31.275,2
0,1,0,0,1,121,2,21,2,0,73.5,2
0,1,0,0,1,122,3,29.69911765,0,0,8.05,2
0,1,1,0,0,123,2,32.5,1,0,30.0708,2
1,0,0,0,1,124,2,32.5,0,0,13,2
0,1,0,0,1,125,1,54,0,1,77.2875,2
0,1,1,0,0,126,3,12,1,0,11.2417,2
0,1,0,1,0,127,3,29.69911765,0,0,7.75,2
0,1,0,0,1,128,3,24,0,0,7.1417,2
1,0,1,0,0,129,3,29.69911765,1,1,22.3583,2
0,1,0,0,1,130,3,45,0,0,6.975,2
0,1,1,0,0,131,3,33,0,0,7.8958,2
0,1,0,0,1,132,3,20,0,0,7.05,2
1,0,0,0,1,133,3,47,1,0,14.5,2
1,0,0,0,1,134,2,29,1,0,26,2
0,1,0,0,1,135,2,25,0,0,13,2
0,1,1,0,0,136,2,23,0,0,15.0458,2
1,0,0,0,1,137,1,19,0,2,26.2833,2
0,1,0,0,1,138,1,37,1,0,53.1,2
0,1,0,0,1,139,3,16,0,0,9.2167,2
0,1,1,0,0,140,1,24,0,0,79.2,2
1,0,1,0,0,141,3,29.69911765,0,2,15.2458,2
1,0,0,0,1,142,3,22,0,0,7.75,2
1,0,0,0,1,143,3,24,1,0,15.85,2
0,1,0,1,0,144,3,19,0,0,6.75,2
0,1,0,0,1,145,2,18,0,0,11.5,2
0,1,0,0,1,146,2,19,1,1,36.75,2
0,1,0,0,1,147,3,27,0,0,7.7958,2
1,0,0,0,1,148,3,9,2,2,34.375,2
0,1,0,0,1,149,2,36.5,0,2,26,2
0,1,0,0,1,150,2,42,0,0,13,2
0,1,0,0,1,151,2,51,0,0,12.525,2
1,0,0,0,1,152,1,22,1,0,66.6,2
0,1,0,0,1,153,3,55.5,0,0,8.05,2
0,1,0,0,1,154,3,40.5,0,2,14.5,2
0,1,0,0,1,155,3,29.69911765,0,0,7.3125,2
0,1,1,0,0,156,1,51,0,1,61.3792,2
1,0,0,1,0,157,3,16,0,0,7.7333,2
0,1,0,0,1,158,3,30,0,0,8.05,2
0,1,0,0,1,159,3,29.69911765,0,0,8.6625,2
0,1,0,0,1,160,3,29.69911765,8,2,69.55,2
0,1,0,0,1,161,3,44,0,1,16.1,2
1,0,0,0,1,162,2,40,0,0,15.75,2
0,1,0,0,1,163,3,26,0,0,7.775,2
0,1,0,0,1,164,3,17,0,0,8.6625,2
0,1,0,0,1,165,3,1,4,1,39.6875,2
0,1,0,0,1,166,3,9,0,2,20.525,2
1,0,0,0,1,167,1,29.69911765,0,1,55,2
1,0,0,0,1,168,3,45,1,4,27.9,2
0,1,0,0,1,169,1,29.69911765,0,0,25.925,2
0,1,0,0,1,170,3,28,0,0,56.4958,2
0,1,0,0,1,171,1,61,0,0,33.5,2
0,1,0,1,0,172,3,4,4,1,29.125,2
1,0,0,0,1,173,3,1,1,1,11.1333,2
0,1,0,0,1,174,3,21,0,0,7.925,2
0,1,1,0,0,175,1,56,0,0,30.6958,2
0,1,0,0,1,176,3,18,1,1,7.8542,2
0,1,0,0,1,177,3,29.69911765,3,1,25.4667,2
1,0,1,0,0,178,1,50,0,0,28.7125,2
0,1,0,0,1,179,2,30,0,0,13,2
0,1,0,0,1,180,3,36,0,0,0,2
1,0,0,0,1,181,3,29.69911765,8,2,69.55,2
0,1,1,0,0,182,2,29.69911765,0,0,15.05,2
0,1,0,0,1,183,3,9,4,2,31.3875,2
0,1,0,0,1,184,2,1,2,1,39,2
1,0,0,0,1,185,3,4,0,2,22.025,2
0,1,0,0,1,186,1,29.69911765,0,0,50,2
1,0,0,1,0,187,3,29.69911765,1,0,15.5,2
0,1,0,0,1,188,1,45,0,0,26.55,2
0,1,0,1,0,189,3,40,1,1,15.5,2
0,1,0,0,1,190,3,36,0,0,7.8958,2
1,0,0,0,1,191,2,32,0,0,13,2
0,1,0,0,1,192,2,19,0,0,13,2
1,0,0,0,1,193,3,19,1,0,7.8542,2
0,1,0,0,1,194,2,3,1,1,26,2
1,0,1,0,0,195,1,44,0,0,27.7208,2
1,0,1,0,0,196,1,58,0,0,146.5208,2
0,1,0,1,0,197,3,29.69911765,0,0,7.75,2
0,1,0,0,1,198,3,42,0,1,8.4042,2
1,0,0,1,0,199,3,29.69911765,0,0,7.75,2
1,0,0,0,1,200,2,24,0,0,13,2
0,1,0,0,1,201,3,28,0,0,9.5,2
0,1,0,0,1,202,3,29.69911765,8,2,69.55,2
0,1,0,0,1,203,3,34,0,0,6.4958,2
0,1,1,0,0,204,3,45.5,0,0,7.225,2
0,1,0,0,1,205,3,18,0,0,8.05,2
1,0,0,0,1,206,3,2,0,1,10.4625,2
0,1,0,0,1,207,3,32,1,0,15.85,2
0,1,1,0,0,208,3,26,0,0,18.7875,2
1,0,0,1,0,209,3,16,0,0,7.75,2
0,1,1,0,0,210,1,40,0,0,31,2
0,1,0,0,1,211,3,24,0,0,7.05,2
1,0,0,0,1,212,2,35,0,0,21,2
0,1,0,0,1,213,3,22,0,0,7.25,2
0,1,0,0,1,214,2,30,0,0,13,2
0,1,0,1,0,215,3,29.69911765,1,0,7.75,2
1,0,1,0,0,216,1,31,1,0,113.275,2
1,0,0,0,1,217,3,27,0,0,7.925,2
0,1,0,0,1,218,2,42,1,0,27,2
1,0,1,0,0,219,1,32,0,0,76.2917,2
0,1,0,0,1,220,2,30,0,0,10.5,2
0,1,0,0,1,221,3,16,0,0,8.05,2
0,1,0,0,1,222,2,27,0,0,13,2
0,1,0,0,1,223,3,51,0,0,8.05,2
0,1,0,0,1,224,3,29.69911765,0,0,7.8958,2
0,1,0,0,1,225,1,38,1,0,90,2
0,1,0,0,1,226,3,22,0,0,9.35,2
0,1,0,0,1,227,2,19,0,0,10.5,2
0,1,0,0,1,228,3,20.5,0,0,7.25,2
0,1,0,0,1,229,2,18,0,0,13,2
1,0,0,0,1,230,3,29.69911765,3,1,25.4667,2
1,0,0,0,1,231,1,35,1,0,83.475,2
0,1,0,0,1,232,3,29,0,0,7.775,2
0,1,0,0,1,233,2,59,0,0,13.5,2
1,0,0,0,1,234,3,5,4,2,31.3875,2
0,1,0,0,1,235,2,24,0,0,10.5,2
1,0,0,0,1,236,3,29.69911765,0,0,7.55,2
0,1,0,0,1,237,2,44,1,0,26,2
1,0,0,0,1,238,2,8,0,2,26.25,2
0,1,0,0,1,239,2,19,0,0,10.5,2
0,1,0,0,1,240,2,33,0,0,12.275,2
1,0,1,0,0,241,3,29.69911765,1,0,14.4542,2
1,0,0,1,0,242,3,29.69911765,1,0,15.5,2
0,1,0,0,1,243,2,29,0,0,10.5,2
0,1,0,0,1,244,3,22,0,0,7.125,2
0,1,1,0,0,245,3,30,0,0,7.225,2
0,1,0,1,0,246,1,44,2,0,90,2
1,0,0,0,1,247,3,25,0,0,7.775,2
1,0,0,0,1,248,2,24,0,2,14.5,2
0,1,0,0,1,249,1,37,1,1,52.5542,2
0,1,0,0,1,250,2,54,1,0,26,2
0,1,0,0,1,251,3,29.69911765,0,0,7.25,2
1,0,0,0,1,252,3,29,1,1,10.4625,2
0,1,0,0,1,253,1,62,0,0,26.55,2
0,1,0,0,1,254,3,30,1,0,16.1,2
1,0,0,0,1,255,3,41,0,2,20.2125,2
1,0,1,0,0,256,3,29,0,2,15.2458,2
1,0,1,0,0,257,1,29.69911765,0,0,79.2,2
1,0,0,0,1,258,1,30,0,0,86.5,2
1,0,1,0,0,259,1,35,0,0,512.3292,2
1,0,0,0,1,260,2,50,0,1,26,2
0,1,0,1,0,261,3,29.69911765,0,0,7.75,2
0,1,0,0,1,262,3,3,4,2,31.3875,2
0,1,0,0,1,263,1,52,1,1,79.65,2
0,1,0,0,1,264,1,40,0,0,0,2
1,0,0,1,0,265,3,29.69911765,0,0,7.75,2
0,1,0,0,1,266,2,36,0,0,10.5,2
0,1,0,0,1,267,3,16,4,1,39.6875,2
0,1,0,0,1,268,3,25,1,0,7.775,2
1,0,0,0,1,269,1,58,0,1,153.4625,2
1,0,0,0,1,270,1,35,0,0,135.6333,2
0,1,0,0,1,271,1,29.69911765,0,0,31,2
0,1,0,0,1,272,3,25,0,0,0,2
1,0,0,0,1,273,2,41,0,1,19.5,2
0,1,1,0,0,274,1,37,0,1,29.7,2
1,0,0,1,0,275,3,29.69911765,0,0,7.75,2
1,0,0,0,1,276,1,63,1,0,77.9583,2
1,0,0,0,1,277,3,45,0,0,7.75,2
0,1,0,0,1,278,2,29.69911765,0,0,0,2
0,1,0,1,0,279,3,7,4,1,29.125,2
1,0,0,0,1,280,3,35,1,1,20.25,2
0,1,0,1,0,281,3,65,0,0,7.75,2
0,1,0,0,1,282,3,28,0,0,7.8542,2
0,1,0,0,1,283,3,16,0,0,9.5,2
0,1,0,0,1,284,3,19,0,0,8.05,2
0,1,0,0,1,285,1,29.69911765,0,0,26,2
0,1,1,0,0,286,3,33,0,0,8.6625,2
0,1,0,0,1,287,3,30,0,0,9.5,2
0,1,0,0,1,288,3,22,0,0,7.8958,2
0,1,0,0,1,289,2,42,0,0,13,2
1,0,0,1,0,290,3,22,0,0,7.75,2
1,0,0,0,1,291,1,26,0,0,78.85,2
1,0,1,0,0,292,1,19,1,0,91.0792,2
0,1,1,0,0,293,2,36,0,0,12.875,2
1,0,0,0,1,294,3,24,0,0,8.85,2
0,1,0,0,1,295,3,24,0,0,7.8958,2
0,1,1,0,0,296,1,29.69911765,0,0,27.7208,2
0,1,1,0,0,297,3,23.5,0,0,7.2292,2
1,0,0,0,1,298,1,2,1,2,151.55,2
0,1,0,0,1,299,1,29.69911765,0,0,30.5,2
1,0,1,0,0,300,1,50,0,1,247.5208,2
1,0,0,1,0,301,3,29.69911765,0,0,7.75,2
0,1,0,1,0,302,3,29.69911765,2,0,23.25,2
0,1,0,0,1,303,3,19,0,0,0,2
1,0,0,1,0,304,2,29.69911765,0,0,12.35,2
0,1,0,0,1,305,3,29.69911765,0,0,8.05,2
0,1,0,0,1,306,1,0.92,1,2,151.55,2
1,0,1,0,0,307,1,29.69911765,0,0,110.8833,2
1,0,1,0,0,308,1,17,1,0,108.9,2
0,1,1,0,0,309,2,30,1,0,24,2
1,0,1,0,0,310,1,30,0,0,56.9292,2
1,0,1,0,0,311,1,24,0,0,83.1583,2
1,0,1,0,0,312,1,18,2,2,262.375,2
1,0,0,0,1,313,2,26,1,1,26,2
0,1,0,0,1,314,3,28,0,0,7.8958,2
0,1,0,0,1,315,2,43,1,1,26.25,2
1,0,0,0,1,316,3,26,0,0,7.8542,2
1,0,0,0,1,317,2,24,1,0,26,2
0,1,0,0,1,318,2,54,0,0,14,2
1,0,0,0,1,319,1,31,0,2,164.8667,2
1,0,1,0,0,320,1,40,1,1,134.5,2
0,1,0,0,1,321,3,22,0,0,7.25,2
0,1,0,0,1,322,3,27,0,0,7.8958,2
1,0,0,1,0,323,2,30,0,0,12.35,2
1,0,0,0,1,324,2,22,1,1,29,2
0,1,0,0,1,325,3,29.69911765,8,2,69.55,2
1,0,1,0,0,326,1,36,0,0,135.6333,2
0,1,0,0,1,327,3,61,0,0,6.2375,2
1,0,0,0,1,328,2,36,0,0,13,2
1,0,0,0,1,329,3,31,1,1,20.525,2
1,0,1,0,0,330,1,16,0,1,57.9792,2
1,0,0,1,0,331,3,29.69911765,2,0,23.25,2
0,1,0,0,1,332,1,45.5,0,0,28.5,2
0,1,0,0,1,333,1,38,0,1,153.4625,2
0,1,0,0,1,334,3,16,2,0,18,2
1,0,0,0,1,335,1,29.69911765,1,0,133.65,2
0,1,0,0,1,336,3,29.69911765,0,0,7.8958,2
0,1,0,0,1,337,1,29,1,0,66.6,2
1,0,1,0,0,338,1,41,0,0,134.5,2
0,1,0,0,1,339,3,45,0,0,8.05,2
0,1,0,0,1,340,1,45,0,0,35.5,2
0,1,0,0,1,341,2,2,1,1,26,2
1,0,0,0,1,342,1,24,3,2,263,2
0,1,0,0,1,343,2,28,0,0,13,2
0,1,0,0,1,344,2,25,0,0,13,2
0,1,0,0,1,345,2,36,0,0,13,2
1,0,0,0,1,346,2,24,0,0,13,2
1,0,0,0,1,347,2,40,0,0,13,2
1,0,0,0,1,348,3,29.69911765,1,0,16.1,2
0,1,0,0,1,349,3,3,1,1,15.9,2
0,1,0,0,1,350,3,42,0,0,8.6625,2
0,1,0,0,1,351,3,23,0,0,9.225,2
0,1,0,0,1,352,1,29.69911765,0,0,35,2
0,1,1,0,0,353,3,15,1,1,7.2292,2
0,1,0,0,1,354,3,25,1,0,17.8,2
0,1,1,0,0,355,3,29.69911765,0,0,7.225,2
0,1,0,0,1,356,3,28,0,0,9.5,2
1,0,0,0,1,357,1,22,0,1,55,2
1,0,0,0,1,358,2,38,0,0,13,2
1,0,0,1,0,359,3,29.69911765,0,0,7.8792,2
1,0,0,1,0,360,3,29.69911765,0,0,7.8792,2
0,1,0,0,1,361,3,40,1,4,27.9,2
0,1,1,0,0,362,2,29,1,0,27.7208,2
1,0,1,0,0,363,3,45,0,1,14.4542,2
0,1,0,0,1,364,3,35,0,0,7.05,2
0,1,0,1,0,365,3,29.69911765,1,0,15.5,2
0,1,0,0,1,366,3,30,0,0,7.25,2
1,0,1,0,0,367,1,60,1,0,75.25,2
1,0,1,0,0,368,3,29.69911765,0,0,7.2292,2
1,0,0,1,0,369,3,29.69911765,0,0,7.75,2
1,0,1,0,0,370,1,24,0,0,69.3,2
0,1,1,0,0,371,1,25,1,0,55.4417,2
0,1,0,0,1,372,3,18,1,0,6.4958,2
0,1,0,0,1,373,3,19,0,0,8.05,2
0,1,1,0,0,374,1,22,0,0,135.6333,2
1,0,0,0,1,375,3,3,3,1,21.075,2
1,0,1,0,0,376,1,29.69911765,1,0,82.1708,2
1,0,0,0,1,377,3,22,0,0,7.25,2
0,1,1,0,0,378,1,27,0,2,211.5,2
0,1,1,0,0,379,3,20,0,0,4.0125,2
0,1,0,0,1,380,3,19,0,0,7.775,2
1,0,1,0,0,381,1,42,0,0,227.525,2
1,0,1,0,0,382,3,1,0,2,15.7417,2
0,1,0,0,1,383,3,32,0,0,7.925,2
1,0,0,0,1,384,1,35,1,0,52,2
0,1,0,0,1,385,3,29.69911765,0,0,7.8958,2
0,1,0,0,1,386,2,18,0,0,73.5,2
0,1,0,0,1,387,3,1,5,2,46.9,2
1,0,0,0,1,388,2,36,0,0,13,2
0,1,0,1,0,389,3,29.69911765,0,0,7.7292,2
1,0,1,0,0,390,2,17,0,0,12,2
0,1,0,0,1,391,1,36,1,2,120,2
0,1,0,0,1,392,3,21,0,0,7.7958,2
0,1,0,0,1,393,3,28,2,0,7.925,2
1,0,1,0,0,394,1,23,1,0,113.275,2
1,0,0,0,1,395,3,24,0,2,16.7,2
0,1,0,0,1,396,3,22,0,0,7.7958,0
1,0,0,0,1,397,3,31,0,0,7.8542,0
0,1,0,0,1,398,2,46,0,0,26,0
0,1,0,0,1,399,2,23,0,0,10.5,0
1,0,0,0,1,400,2,28,0,0,12.65,1
0,1,0,0,1,401,3,39,0,0,7.925,1
0,1,0,0,1,402,3,26,0,0,8.05,0
1,0,0,0,1,403,3,21,1,0,9.825,0
0,1,0,0,1,404,3,28,1,0,15.85,0
1,0,0,0,1,405,3,20,0,0,8.6625,0
0,1,0,0,1,406,2,34,1,0,21,0
0,1,0,0,1,407,3,51,0,0,7.75,0
0,1,0,0,1,408,2,3,1,1,18.75,1
0,1,0,0,1,409,3,21,0,0,7.775,0
1,0,0,0,1,410,3,29.69911765,3,1,25.4667,0
0,1,0,0,1,411,3,29.69911765,0,0,7.8958,0
0,1,0,1,0,412,3,29.69911765,0,0,6.8583,0
1,0,0,1,0,413,1,33,1,0,90,1
0,1,0,0,1,414,2,29.69911765,0,0,0,0
0,1,0,0,1,415,3,44,0,0,7.925,1
1,0,0,0,1,416,3,29.69911765,0,0,8.05,0
1,0,0,0,1,417,2,34,1,1,32.5,1
1,0,0,0,1,418,2,18,0,2,13,1
0,1,0,0,1,419,2,30,0,0,13,0
1,0,0,0,1,420,3,10,0,2,24.15,0
0,1,1,0,0,421,3,29.69911765,0,0,7.8958,0
0,1,0,1,0,422,3,21,0,0,7.7333,0
0,1,0,0,1,423,3,29,0,0,7.875,0
1,0,0,0,1,424,3,28,1,1,14.4,0
0,1,0,0,1,425,3,18,1,1,20.2125,0
0,1,0,0,1,426,3,29.69911765,0,0,7.25,0
1,0,0,0,1,427,2,28,1,0,26,1
1,0,0,0,1,428,2,19,0,0,26,1
0,1,0,1,0,429,3,29.69911765,0,0,7.75,0
0,1,0,0,1,430,3,32,0,0,8.05,1
0,1,0,0,1,431,1,28,0,0,26.55,1
1,0,0,0,1,432,3,29.69911765,1,0,16.1,1
1,0,0,0,1,433,2,42,1,0,26,1
0,1,0,0,1,434,3,17,0,0,7.125,0
0,1,0,0,1,435,1,50,1,0,55.9,0
1,0,0,0,1,436,1,14,1,2,120,1
1,0,0,0,1,437,3,21,2,2,34.375,0
1,0,0,0,1,438,2,24,2,3,18.75,1
0,1,0,0,1,439,1,64,1,4,263,0
0,1,0,0,1,440,2,31,0,0,10.5,0
1,0,0,0,1,441,2,45,1,1,26.25,1
0,1,0,0,1,442,3,20,0,0,9.5,0
0,1,0,0,1,443,3,25,1,0,7.775,0
1,0,0,0,1,444,2,28,0,0,13,1
0,1,0,0,1,445,3,29.69911765,0,0,8.1125,1
0,1,0,0,1,446,1,4,0,2,81.8583,1
